10-k filing,"10-k filing. The Securities and Exchange Commission in the US requires publicly traded companies to disclose annual accounts on form 10-k. Quarterly reports are filed on on form 10-q and reports detailing specified company news on 8-k. The SEC explains that form 10-k should provide a comprehensive review of the company's business and financial condition and include audited financial statements. The annual report on form 10-k is a different requirement from the annual report to shareholders that a company must prepare before its annual meeting to elect directors. The SEC imposes deadlines for filing of all its reports. Its reports are viewable through a public database.   10-k filing in the news In June 2012, pressure groups interested in sustainable investment called for companies who fill in Form 10-k, which includes mandatory disclosure of risk factors, to include ethical, social and governance factors. The disclosure of risks also featured in an FT column outlining the risks associated with rising student loan debt in the United States. ITT Educational Services (ITT-ESI) wrote in its 10-k filing ""We are not able to estimate the maximum potential future payments that we could be required to make under the RSAs [risk-sharing agreements that the company managed to make with others such as the Deutsche Bank Credit Solutions Group in London]."" 10-k filings were also helping investors at the beginning of March 2013 when Chesapeake Energy revealed on its form 10-k that the SEC had started a formal enquiry over its controversial remuneration plan."
12-month high or low,A 12-month high or 12-month low is the highest or lowest price at which the shares have closed over the past 12 months. [1]
130/30,"A 130/30 investment strategy is one that invests both long and short at the same time in an attempt to outperform a given index. It is called a 130/30 fund because the manager shorts up to 30 per cent of the assets in the fund (he borrows shares that he thinks are most likely to fall in price and sells them in the open market and buying them back at a later date after their price has fallen, locking in profits). The earnings from the short selling can be reinvested, allowing the fund manager to have 130% of the portfolio in long positions. The 130/30 ratio is a widely-used term for this type of strategy, but other ratios are possible.  130/30 funds in the news In May 2013 an FT writer investigated the decline in interest in 130/30 funds, mainly because they had underperformed compared to expectations. Some blamed the poor performance on some managers' inability to master the skills required for shorting."
1967 borders,"The term  1967 borders  refers to the armistice lines that existed between Israel and its Arab neighbours prior to the 1967 Six-Day war. They separated Israel from the Gaza Strip, at the time held by Egypt; from the West Bank and East Jerusalem, under Jordanian control; and from the Golan Heights, which were part of Syria. All these areas were conquered by Israel in the war, and later partly annexed. Palestinians want to establish their state in the West Bank and Gaza Strip, with East Jerusalem as the capital. Israel, however, wants to keep parts of the occupied territories, especially those areas that are today home to Jewish settlements. [1]"
3 Fs,"The three Fs are friends, family and fools - the people to talk to first when pitching an idea.  Less than 1 per cent of start-ups raise venture capital so the 3Fs are important. Relying on friends who are willing to invest in you and family that feel obligated to invest in you is a great way to get started. This is why entrepreneurs spend a lot of time cultivating their social network   you never know who might be a potential funder for your idea. This is also why I often advise my students that working for a large company initially might be the ideal way to end up as an entrepreneur later on. At large companies, employees can gain valuable knowledge about the market and make new friends who can play a significant role in future ventures, whether as a colleague, funder or acquirer. Despite the typical image of an entrepreneurial venture springing from 'two guys in a garage', most entrepreneurs have significant industry experience. [1]"
30% Club,"The 30% Club, or 30 Percent Club, is a group of chairmen of boards who are voluntarily committed to bringing more women onto UK corporate boards. In January 2013 the group said that on average FTSE 100 companies have only 17.3 per cent female representation on boards.  The group lobbies to bring that percentage to 30 per cent arguing that having a better balance   at least 30 per cent of senior female leaders   positively influences a company's culture and decision making processes. However, it opposes proposals to introduce mandatory quotas for women representation on boards, preferring to leave 30 per cent as a target.   30% Club in the news In January 2013 the UK House of Lords held a debate on boardroom diversity, which deplored low levels of female board representation, but rejected EU quotas. In November 2012, the European Union had announced that European companies will be forced to hire a female candidate over an equally qualified male   or face sanctions   unless women occupy at least 40 per cent of their board seats by 2020. EU data showed that women fill only 13.7 per cent of board positions in large listed companies. There is a lot of variation across different European countries. At the latest count in Europe, women accounted for 27 per cent of the board members of large listed companies in Finland, 26 per cent in Latvia and 25 per cent in Sweden, but only 5 per cent in Hungary, 4 per cent in Cyprus and 3 per cent in Malta.                  "
401k,"In the US, 401k refers to a type of pension plan where a company pays an amount of money into the plan that matches the amount that an employee pays into it, with tax advantages for both. They are called 401k because that refers to the clause in tax law which governs them. Under current tax laws employees are not taxed on the money invested in their 401k. The money is only taxed once the pension saver draws down funds. In 401k plan employees can choose from a a range of funds available from the provider."
403b plan,"Named after a section of the US tax code, 403b plans are offered by employers to allow employees to save for retirement on a pre-tax basis. Unlike 401k plans, 403b plans are only available to employees of certain tax-exempt organisations, public schools and civil governments. [1]"
529 plans,"Named after a section of the US federal tax code created in 1996, 529 college savings plans are designed to allow families and individuals to save for future college costs in a tax advantaged way. Sponsored by individual states, 529 college savings plans allow individuals to designate a  beneficiary  that can use the money in the account to pay for eligible college expenses. Once money is placed in a 529 plan account, it is invested in stock mutual funds, bond funds, money market funds or other types of funds. [1]"
A H1N1,"A H1N1 is a subtype of flu virus and is the official name given by the World Health Organisation to the 2009 pandemic. There are many variants of H1N1s. The pandemic virus is also commonly called swine flu, despite objections by the Organisation for Animal Health, which argues there is no evidence that it spread to humans from pigs. Based on information to date, the pandemic strain is mild: it is no more lethal than seasonal flu, but in contrast those most affected are young people rather than the elderly. [1]   View First wave of swine flu has passed peakIn depth: Swine flu"
